"film","directors","writers","countries"
"La Celestina","Gerardo Vera Perales","Rafael Azcona","Spain"
"South of the Border","William Oliver Stone","Mark Alan Weisbrot; Mark Weisbrot; Tariq Ali","the United States"
"Re Daniel Dawal Migel","Chakurartha Devadithya Gardiyawasam Lindamulage Roy Aloysius Felix de Silva","Roy de Silva; රෝයි ද සිල්වා","Sri Lanka"
"Hunger","Steven Rodney McQueen","Enda Walsh; Steve McQueen","Ireland; United Kingdom"
"Cold Sweat","Shaun Terence Young","Jo Eisinger; Shimon Wincelberg","France; Italy"
"The Formula","John Guilbert Avildsen","Steve Shagan","the United States"
"The Night Before Christmas","Władysław Starewicz","Ladislas Starevich; Ladislav Starevich; Nikolai Gogol","''; Russia; Russian Empire"
"Anna Ascends","Victor Lonzo Fleming","Margaret Turnbull","the United States"
"Caught in the Rain","Charles Spencer Chaplin","Charles Chaplin; Charlie Chaplin","the United States"
"Creepshow","George Andrew Romero","Stephen King","the United States"
"I Love Your Work","Adam Charles Goldberg","Adam Goldberg; Adrian Butchart","the United States"
"Vampir-Cuadecuc","Pere Portabella i Ràfols","Pere Portabella","Spain"
"The Hindoo Dagger","David Wark Griffith","D. W. Griffith","the United States"
"Into the Abyss","Werner Herzog Stipetić","Werner Herzog","the United States"
"Luz de domingo","José Luis García Muñoz","José Luis Garci","Spain"
"Spartan","David Alan Mamet","David Mamet","the United States"
"Men, Heroes and Gay Nazis","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","Germany"
"Eagle vs Shark","Taika David Waititi","Taika Waititi","Aotearoa (Māori); New Zealand"
"Mars et Avril","Martin Villeneuve","Martin Villeneuve","Canada"
"Douglas","Pål Bang-Hansen","Pål Bang-Hansen","Norway"
"The Blob","Charles Russell","Chuck Russell; Frank Darabont","the United States"
"Saving Mr. Banks","John Lee Hancock, Jr.","Kelly Marcel","Australia"
"Warcraft","Duncan Zowie Haywood Jones","Charles Leavitt","the United States"
"Filantropica","Nicolae Caranfil","Nae Caranfil","Romania"
"A","Upendra Rao","Upendra","Bhārat Gaṇarājya; India"
"Escape from Galaxy 3","Adalberto ""Bitto"" Albertini","John Thomas","Italy"
"Contagion","Steven Andrew Soderbergh","Scott Z. Burns","United Arab Emirates"
"Nil Gavani Kaadhali","Chithamur Vijayaraghavulu Rajendran","Chitralaya Gopu","Bhārat Gaṇarājya; India"
"Rajadhiraja","Hunsur Ramachandra Bhargyachandra","H. R. Bhargava","Bhārat Gaṇarājya; India"
"Superman II: The Richard Donner Cut","Richard Donald Schwartzberg","David Newman; Leslie Newman; Mario Puzo","United Kingdom"
"Shiza","Gulshat Diasovna Omarova","Gulshat Omarova; Sergei Bodrov; Сергей Бодров","''; Kazakhstan"
"Nostalghia","Andrei Arsenyevich Tarkovsky","Andrei Tarkovsky; Tonino Guerra","Italy"
"Family Law","Daniel Burman","Daniel Burman","Argentina"
"Prison","Lauri Mauritz Harjola","C. Courtney Joyner; Irwin Yablans","the United States"
"Sammanam","Nambiathusseril Varkey John","C. V. Sridhar; Thoppil Bhasi","Bhārat Gaṇarājya; India"
"(and Don't Come Back!!)","José Cuauhtémoc Meléndez","Charles M. Schulz","the United States"
"Thulli Thirintha Kaalam","Dhanabalan","Balasekaran","Bhārat Gaṇarājya; India"
"Nandi Veendum Varika","Plamthottam Gangadharan Viswambharan","Jagadish; Sreenivasan","Bhārat Gaṇarājya; India"
"The Liar","László Vajda Weisz","Hans Jacoby","''; Federal Republic of Germany; West Germany"
"Spooked","Geoffrey Peter Murphy","Geoff Murphy","Aotearoa (Māori); New Zealand"
"Night Watch","Timur Nuruakhitovich Bekmambetov","Laeta Kalogridis; Timur Bekmambetov","Russia"
"Siyaah","Azfar Jafri","Azfar Jafri; Osman Khalid Butt","Pakistan"
"Ilsa, the Wicked Warden","Jesús Franco Manera","Jesús Franco","''; Federal Republic of Germany; Switzerland; West Germany; font-size:88%;"
"Monisha En Monalisha","Vijaya Thesingu Rajender","T. Rajendar","Bhārat Gaṇarājya; India"
"The Nativity Story","Helen Catherine Hardwicke","Mike Rich","the United States"
"S*M*A*S*H","Hannes Martin Holm","Hannes Holm; Måns Herngren","Konungariket Sverige; Sweden"
"Nikah Halala","Nosratollah Karimi","Nosrat Karimi; نصرت الله کریمی","Iran"
"Näköradiomiehen ihmeelliset siekailut","Erkki Olavi Kokkonen","Ere Kokkonen; Jukka Virtanen; Spede Pasanen","Finland; font-size:88%;"
"Pappayude Swantham Appoos","A.M. Fazil","A. M. Fazil; Fazil","Bhārat Gaṇarājya; India"
"Max and His Mother-in-Law","Gabriel-Maximilien Leuvielle","Max Linder","France"
"Fados","Carlos Saura Atarés","Carlos Saura","Portugal"
"The Amazing Praybeyt Benjamin","Edwin Villanes Deramas","Direk Wenn; Wenn V. Deramas","Republika ng Pilipinas; the Philippines"
"Pinjra","Shantaram Rajaram Vankudre","Shankar Babaji Patil","Bhārat Gaṇarājya; India"
"Ride","Helen Elizabeth Hunt","Helen Hunt","the United States"
"Manmatha Leelai","Kailasam Balachander","K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"Mars","Pavel Vladimirovich Klushantsev","Pavel Klushantsev","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Laborer's Love","Zhang Weitong","Zheng Zhengqiu; 郑正秋; 鄭正秋","the People's Republic of China"
"Tweet's Ladies of Pasadena","Timothy Agoglia Carey","Timothy Carey","the United States"
"Harry and Walter Go to New York","Mortimer H. Rydell","Don Devlin; John Byrum; Robert Kaufman","the United States"
"Children Shouldn't Play With Dead Things","Benjamin Clark","Alan Ormsby; Bob Clark","the United States"
"Black Rainbow","Michael Tommy Hodges","Mike Hodges","United Kingdom"
"A Man Called Sledge","Victor Morozoff","Frank Kowalski; Vic Morrow","Italy"
"En Purushanthaan Enakku Mattumthaan","Manobala","P. Kalaimani","Bhārat Gaṇarājya; India"
"Coolie","Vasudevan Peethambaram","P. Vasu","Bhārat Gaṇarājya; India"
"Atlantic City","Louis Marie Malle","John Guare","Canada; France"
"And Now Ladies and Gentlemen","Claude Barruck Joseph Lelouch","Claude Lelouch; Pierre Leroux; Pierre Uytterhoeven","United Kingdom"
"Ganito kami noon, paano kayo ngayon","Edgar Sinco Romero","Eddie Romero; Roy C. Iglesias","Republika ng Pilipinas; the Philippines"
"Torrente 3: El protector","Santiago Segura Silva","Santiago Segura","Spain"
"Tales of The Kama Sutra: The Perfumed Garden","Jagmohan Mundhra","Randor Guy","the United States"
"""Crocodile"" Dundee","Peter Leonard Fairman","John Cornell; Ken Shadie; Paul Hogan","the United States"
"January Oru Orma","Joshi","Kaloor Dennis","Bhārat Gaṇarājya; India"
"Emanuelle Around the World","Aristide Massaccesi","Gianfranco Clerici","Italy"
"La Mujer del ministro","Eloy Germán de la Iglesia Diégue","Eloy de la Iglesia","Spain"
"Yvonne of the Night","Giuseppe Vasaturo","Giuseppe Amato; Oreste Biancoli","Italy"
"Il marito","Giovanni Loi","Alberto Sordi; Ettore Scola; Gianni Puccini; Nanni Loy; Rodolfo Sonego; Ruggero Maccari","Italy"
"Bahen","Mehboob Khan Ramzan Khan","Zia Sarhadi","Bhārat Gaṇarājya; India"
"Strange Behavior","Michael Stoddard Laughlin","Bill Condon","Aotearoa (Māori); New Zealand"
"Kunjattakilikal","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"Liar's Dice","Gayathri Mohandas","Geetu Mohandas","Bhārat Gaṇarājya; India"
"Aalayamani","Kunnesscri Shankar","Javar Seetharaman; Javar Sitaraman","Bhārat Gaṇarājya; India"
"American Boy: A Profile of Steven Prince","Martin Charles Scorsese","Julia B. Cameron; Julia Cameron; Mardik Martin","the United States"
"Nastasja","Andrzej Witold Wajda","Andrzej Wajda; Fyodor Dostoyevsky","Japan; Poland"
"Sabaash Naidu","Parthasarathy","Kamal Haasan; Saurabh Shukla","Bhārat Gaṇarājya; India"
"(Il Gattopardo)","Luchino Visconti di Modrone","Luchino Visconti; Massimo Franciosa; Pasquale Festa Campanile; Suso Cecchi d'Amico","Italy"
"Eat Pray Love","Ryan Patrick Murphy","Jennifer Salt","the United States"
"La dottoressa del distretto militare","Fernando Cicero","Nando Cicero","Italy"
"This Other Eden","Violette Muriel Baker","Patrick Kirwan","Ireland"
"Man of Aran","Robert Joseph Flaherty","Robert J. Flaherty","Ireland; Irish Free State; Saorstát Éireann"
"Adela","Eduardo Mario Mignogna","Eduardo Mignogna","Spain"
"(Monologue)","Moutathu Gopalakrishnan Unnithan","Adoor Gopalakrishnan","Bhārat Gaṇarājya; India"
"Hälsoresan - En smal film av stor vikt","Lars Gunnar Åberg","Lasse Åberg","Konungariket Sverige; Sweden"
"Surveykkallu","Thoppil Bhaskara Pillai","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Les Paumées du Petit Matin","Jean Michel Rollin Roth Le Gentil","Jean Rollin","France"
"8: The Mormon Proposition","Darrin Reed Cowan","Reed Cowan","the United States"
"Kook's Tour","Norman Albert Maurer","Norman Maurer","the United States"
"Can This Be Love","Jose Javier Reyes","Jose Javier Reyes; José Javier Reyes","Republika ng Pilipinas; the Philippines"
"Mulholland Falls","Warren Lee Tamahori","Pete Dexter","the United States"
"Italianamerican","Martin Charles Scorsese","Lawrence D. Cohen; Mardik Martin","the United States"
"Mr. Accident","Greg Gomez Pead","Yahoo Serious","Australia"
"Veer-Zaara","Yash Chopra","Aditya Chopra","Bhārat Gaṇarājya; India"
"The Man Called Flintstone","Joseph Roland Barbera; William Denby Hanna","Harvey Bullock","the United States"
"Picnic at Hanging Rock","Peter Lindsay Weir","Cliff Green","Australia"
"Taxi for Two","Sándor  Ezry","Angus MacPhail; Ian Dalrymple","United Kingdom"
"Close to Eden","Nikita Sergeyevich Mikhalkov","Nikita Mikhalkov; Rustam Ibragimbekov","France"
"In My Genes","Lupita Amondi Nyong'o","Lupita Nyong'o","Jamhuri ya Kenya; Kenya"
"César Chávez","Diego Luna-Alexander","Keir Pearson","Mexico"
"An Almost Perfect Affair","Michael Brunswick Ritchie","Walter Bernstein","the United States"
"Ullathil Nalla Ullam","Manivannan Rajagopal S","Manivannan; S Manivannan","Bhārat Gaṇarājya; India"
"Arishina Kumkuma","Kikkeri Shamanna Lakshminarasimha Swamy","Valampuri Somanathan; வலம்புரி சோமநாதன்","Bhārat Gaṇarājya; India"
"I Was a Teenage Faust","Thomas Everett Eberhardt","Thom Eberhardt","Canada; the United States"
"Hum Tum Aur Woh","Mehboob Khan Ramzan Khan","Wajahat Mirza; Wajahat Mirza Changezi","Bhārat Gaṇarājya; India"
"To Live","Yuri Anatoleyvich Bykov","Yuri Bykov","Russia"
"صراع في الوادي","Youssef Gabriel Chahine","Helmy Halim","Egypt"
"Patton","Franklin James Schaffner","Edmund H. North; Francis Ford Coppola","the United States"
"Sumadhi En Sundhari","Chithamur Vijayaraghavulu Rajendran","Chitralaya Gopu","Bhārat Gaṇarājya; India"
"Beast of the Yellow Night","Edgar Sinco Romero","Eddie Romero","Republika ng Pilipinas; the Philippines"
"Loham: The Yellow Metal","Ranjith Balakrishnan Nair","Ranjith","Bhārat Gaṇarājya; India"
"Des Pardes","Dharamdev Anand","Dev Anand; Suraj Sanim","Bhārat Gaṇarājya; India"
"Tiovivo c. 1950","José Luis García Muñoz","José Luis Garci","Spain"
"Chakravakam","Thoppil Bhaskara Pillai","Thoppil Bhasi","Bhārat Gaṇarājya; India"
"Iru Medhaigal","Venkatachary Srinivasan","Muktha Srinivasan","Bhārat Gaṇarājya; India"
"Don Franco e Don Ciccio nell'anno della contestazione","Marino Girolami","Marino Girolami","Italy"
"Premaku Velayara","Satti Venkata Krishna Reddy","S. V. Krishna Reddy","Bhārat Gaṇarājya; India"
"-Viva l'Italia!-","Roberto Gastone Zeffiro Rossellini","Luigi Chiarini; Roberto Rossellini; Sergio Amidei","France; Italy"
"Convoy","David Samuel Peckinpah","Bill L. Norton","the United States"
"Nakshthrakoodaram","Joshy","Joshy Mathew; Joshy Mathew ജോഷി മാത്യു","Bhārat Gaṇarājya; India"
"Pirates","Rajmund Roman Thierry Polański","Gérard Brach; John Brownjohn; Roman Polanski","Tunisia"
"Porter Kunjali","Nambiathusseril Varkey John","J. Sasikumar","Bhārat Gaṇarājya; India"
"शोला और शबनम","Rajinder Dhawan","Anees Bazmee","Bhārat Gaṇarājya; India"
"Mera Pati Sirf Mera Hai","Manobala","Dasari Narayana Rao","Bhārat Gaṇarājya; India"
"The Unloved Woman","Emilio Fernández Romo","Emilio Fernández; Jacinto Benavente; Mauricio Magdaleno","Mexico"
"Mrs Henderson Presents","Stephen Arthur Frears","Martin Sherman","United Kingdom"
"Look Back in Anger","Judith Olivia Dench","John Osborne","United Kingdom"
"Urimaikural","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Me Myself I","Philippa Karmel","Pip Karmel","Australia"
"Vaai Kozhuppu","Venkatachary Srinivasan","Muktha Srinivasan","Bhārat Gaṇarājya; India"
"May Fools","Louis Marie Malle","Jean-Claude Carrière; Louis Malle","France; Italy"
"Zona Roja","Emilio Fernández Romo","Emilio Fernández; José Revueltas","Mexico"
"Blame It on the Bellboy","Mark Herman","Mark Herman","United Kingdom"
"Arappavan","Kunnesscri Shankar","Kedamangalam Sadanandan","Bhārat Gaṇarājya; India"
"Nomad","Sergei Vladimirovich Bodrov","Rustam Ibragimbekov","''; Kazakhstan"
"Time of the Gypsies","Emir Kusturica","Emir Kusturica","''Socialistična federativna republika; Jugoslavija''; Socialist Federal Republic of Yugoslavia; Socijalistička Federativna Republika Jugoslavija; Yugoslavia"
"Iniyum Marichittillatha Nammal","K. Ravindran","Chintha Ravi","Bhārat Gaṇarājya; India"
"Too Hot to Handle","Shaun Terence Young","Herbert Kretzmer","United Kingdom"
"Taras Bulba","John Lee Thompson","Karl Tunberg; Waldo Salt","the United States"
"Mama Jack","Gray Hofmeyr","Gray Hofmeyr; Leon Schuster; Paul Slabolepszy","South Africa"
"Eat Sleep Die","Gabriela Katarina Pichler","Gabriela Pichler","Konungariket Sverige; Sweden"
"Enga Mama","A. Chengalvaraya Mudaliar Thirulokachander","V. C. Guhanathan","Bhārat Gaṇarājya; India"
"Kurukshetra","A. K. Raveendran","Major Ravi","Bhārat Gaṇarājya; India"
"Cinema 500 km","Abdullah Al-Eyaf Al-Qahtani","Abdullah Al-Eyaf","Al-Mamlakah Al-ʾĀrabīyah As-Saʿūdīyah; Saudi Arabia"
"Jasenovac – istina","Jakov Sedlar","Hrvoje Hitrec","Croatia"
"On the Road","Walter Moreira Salles, Jr.","José Rivera","Canada"
"Fiddler on the Roof","Norman Frederick Jewison","Joseph Stein","the United States"
"Deadly Voyage","John Leonard Duncan MacKenzie","Stuart Urban","United Kingdom; the United States"
"They Came from Beyond Space","Frederick William Francis","Milton Subotsky","United Kingdom"
"Alamo Bay","Louis Marie Malle","Alice Arlen","the United States"
"Brotherhood of the Wolf","Christophe Gans","Christophe Gans","France"
"ഒരിടത്ത്","Govindan Aravindan","G. Aravindan","Bhārat Gaṇarājya; India"
"பெரிய இடத்துப் பெண்","Thanjavur Ranganayaki Ramachandran","Sakthi T. K. Krishnasamy","Bhārat Gaṇarājya; India"
"The Edge","Warren Lee Tamahori","David Mamet","Canada"
"Blindness","Fernando Ferreira Meirelles","Don McKellar","Brazil"
"Neerkumizhi","Kailasam Balachander","K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"Pradeshika Varthakal","Kamaluddin Mohammed Majeed","Ranjith","Bhārat Gaṇarājya; India"
"Mera Saathi","Kovelamudi Raghavendra Rao","K. Raghavendra Rao","Bhārat Gaṇarājya; India"
"Prego","Usher Morgan","Usher Morgan","the United States"
"Total Balalaika Show","Aki Olavi Kaurismäki","Aki Kaurismäki","Finland; font-size:88%;"
"Big Trouble in Little China","John Howard Carpenter","Gary Goldman; W. D. Richter; W.D. Richter","the United States"
"Machete","Robert Anthony Rodríguez","Robert Rodriguez","the United States"
"A Hole in the Head","Francesco Rosario Capra","Arnold Schulman","the United States"
"Aavanazhi","Irruppam Veedu Sasidaran","T. Damodaran; ടി. ദാമോദരൻ","Bhārat Gaṇarājya; India"
"Divergent","Neil Norman Burger","Evan Daugherty; Vanessa Taylor","the United States"
"Barsaat","Ranbir Raj Kapoor","Ramanand Sagar","Bhārat Gaṇarājya; India"
"(The Husband)","Giovanni Loi","Alberto Sordi; Ettore Scola; Gianni Puccini; Nanni Loy; Rodolfo Sonego; Ruggero Maccari","Italy"
"The Fall of the Louse of Usher","Henry Kenneth Alfred Russell","Ken Russell","United Kingdom"
"The Railway Children","Lionel Charles Jeffries","Edith Nesbit","United Kingdom"
"Kannukkul Nilavu","A.M. Fazil","A. M. Fazil; Fazil; Gokula Krishna","Bhārat Gaṇarājya; India"
"जय शिव शंकर","S.A. Chandrasekar","Anand Bakshi; S. A. Chandrasekhar","Bhārat Gaṇarājya; India"
"Azadi","Anthony Theo Maras","Anthony Maras","Australia"
"Anatomy of a Marriage: My Days with Jean-Marc","Marcel Truc","André Cayatte","''; Federal Republic of Germany; France; Italy; West Germany"
"Oru Kadamkatha Pole","Joshy","John Paul Puthusery; Nedumudi Venu","Bhārat Gaṇarājya; India"
"Native Son","Pierre Cohen","Pierre Chenal; Richard Wright","Argentina"
"Ellaam Ninakku Vendi","Nambiathusseril Varkey John","S. L. Puram Sadanandan","Bhārat Gaṇarājya; India"
"The Naked Jungle","Byron Conrad Haskin","Ben Maddow; Carl Stephenson; Philip Yordan; Ranald MacDougall","the United States"
"Crimen sin olvido","Modesto Llosas Rosell","Jorge Mistral","Bolivia; font-size:88%;"
"Terror in the Midnight Sun","Virgil William Vogel","Arthur C. Pierce; Robert M. Fresco","Konungariket Sverige; Sweden"
"Crimson Peak","Guillermo del Toro Gómez","Matthew Robbins","the United States"
"aka: Zoltan, Hound of Dracula","Alfredo Antonnini","Frank Ray Perilli","the United States"
"If It's Tuesday, This Must Be Belgium","Stuart Solomon","David Shaw","the United States"
"Amrut Manthan","Shantaram Rajaram Vankudre","Narayan Hari Apte","Bhārat Gaṇarājya; India"
"Hoří, má panenko!","Jan Tomáš Forman","Ivan Passer; Miloš Forman","Czechoslovakia; Československo; Česko‑Slovensko"
"Eettillum","A.M. Fazil","A. M. Fazil; Fazil","Bhārat Gaṇarājya; India"
"California Conquest","Louis Friedlander","Robert E. Kent","the United States"
"Vaira Nenjam","Chithamur Vijayaraghavulu Sridhar","C. V. Sridhar","Bhārat Gaṇarājya; India"
"Katzgraben","Eugen Berthold Friedrich Brecht","Erwin Strittmatter","''; East Germany; German Democratic Republic"
"The Pit and the Pendulum","Alice Guy","Edgar Allan Poe","the United States"
"Le Beau Mariage","Maurice Henri Joseph Schérer or Jean Marie Maurice Schérer","Éric Rohmer","France"
"On the Beach","Stanley Earl Kramer","John Paxton; Nevil Shute","the United States"
"Goodbye Pork Pie","Geoffrey Peter Murphy","Geoff Murphy; Ian Mune","Aotearoa (Māori); New Zealand"
"Veetula Raman Veliyila Krishnan","Manivannan Rajagopal S","Manivannan; S Manivannan","Bhārat Gaṇarājya; India"
"Prime Cut","Michael Brunswick Ritchie","Robert Dillon","the United States"
"Choola","Nambiathusseril Varkey John","J. Sasikumar; T. V. Gopalakrishnan","Bhārat Gaṇarājya; India"
"The Spirit of Charles Lindbergh","George Orson Welles","Orson Welles","the United States"
"The Teenage Textbook Movie","Pheng Lim","Haresh Sharma","Singapore"
"Hameshaa","Sanjay Gupta","Kader Khan; Kamlesh Pandey; Sanjay Gupta","Bhārat Gaṇarājya; India"
"Looking for Comedy in the Muslim World","Albert Lawrence Einstein","Albert Brooks","the United States"
"Illusive Tracks","Dan Peter Dalle","Peter Dalle","Konungariket Sverige; Sweden"
"Golden Balls","Josep Joan Bigas i Luna","Bigas Luna","Spain"
"Bajrangi Bhaijan","Kabir Khan","K. V. Vijayendra Prasad; Kabir Khan","Bhārat Gaṇarājya; India"
"War Requiem","Michael Derek Elworthy Jarman","Derek Jarman","United Kingdom"
"Escape to Victory","John Marcellus Huston","Evan Jones","United Kingdom; the United States"
"My Family","Gregory James Nava","Anna Thomas; Gregory Nava","the United States"
"Luna","Pavel Vladimirovich Klushantsev","Pavel Klushantsev","Soviet Union (USSR); Union of Soviet Socialist Republics"
"The Song of the Rivers","Georg Henri Anton Ivens","Joris Ivens","''; East Germany; German Democratic Republic"
"Muktodhara","Shiboprosad Mukherjee","Nandita Roy","Bhārat Gaṇarājya; India"
"Vishnu Lokam","Kamaluddin Mohammed Majeed","T. A. Razzaq","Bhārat Gaṇarājya; India"
"Maalai Sooda Vaa","Chithamur Vijayaraghavulu Rajendran","Venniradai Moorthy","Bhārat Gaṇarājya; India"
"Le Passage du Rhin","Marcel Truc","André Cayatte","''; Federal Republic of Germany; France; Italy; West Germany"
"El secreto de la solterona","Miguel Melitón Delgado Pardavé","E. Marlitt","Mexico"
"En Magan","Chithamur Vijayaraghavulu Rajendran","Sachin Bhaumick; Sachin Bhowmick; শচীন ভৌমিক","Bhārat Gaṇarājya; India"
"Working Girls","Linda Borden","Lizzie Borden","the United States"
"Kudumbini","Nambiathusseril Varkey John","Kanam EJ","Bhārat Gaṇarājya; India"
"One Evening After the War","Panh Rithy","Rithy Panh","Cambodia; France; Preăh Réachéanachâk Kâmpŭchéa"
"Amma","Boodgur Ramakrishnaiah Panthulu","G. V. Iyer; Ganapathi Venkatrama Iyer","Bhārat Gaṇarājya; India"
"Periya Idathu Penn","Thanjavur Ranganayaki Ramachandran","Sakthi T. K. Krishnasamy","Bhārat Gaṇarājya; India"
"(The Blue Collar Worker and the Hairdresser in a Whirl of Sex and Politics)","Arcangela Felice Assunta Wertmüller von Elgg Español von Braueich","Leonardo Benvenuti; Lina Wertmüller; Piero De Bernardi","Italy"
"Khaled","Asghar Massombagi","Asghar Massombagi","Canada"
"Tarzoon: Shame of the Jungle","Jean-Paul Walravens","Anne Beatts; Michael O'Donoghue; Picha","France"
"The Secret of Roan Inish","John Thomas Sayles","John Sayles","Ireland"
"Don't Stop Dreaming","Aditya Raj Kapoor","Aditya Raj Kapoor","United Kingdom"
"Hour of the Wolf","Ernst Ingmar Bergman","Ingmar Bergman","Konungariket Sverige; Sweden"
"The Big Gamble","James Elmo Williams","Irwin Shaw","the United States"
"Der Mann im Pyjama","Hartmann Schmige","Hartmann Schmige","''; Federal Republic of Germany; West Germany"
"Déjà Vu","Anthony David Leighton Scott","Bill Marsilii; Terry Rossio","the United States"
"Lootere","Dharmesh Darshan","Dharmesh Darshan; Kamlesh Pandey","Bhārat Gaṇarājya; India"
"Haunted Lighthouse","Joseph James Dante, Jr.","Sam Hamm","the United States"
"Aakasha Kottayile Sultan","Jayaraj Rajasekharan Nair","Renji Panicker","Bhārat Gaṇarājya; India"
"La Carapate","Max-Gérard Houry Tannenbaum","Danièle Thompson; Gérard Oury","France"
"Chicken Rice War","Chee Kong Cheah","Chee Kong Cheah; CheeK","Singapore"
"The Egyptian","Mihaly Kertesz","Casey Robinson; Philip Dunne","the United States"
"Demobbed","Roman R. Kachanov","(Роман Романович Качанов); Ivan Okhlobystin; Roman Kachanov; Roman Romanovich Kachanov","Russia"
"First Family","Henry Zuckerman","Buck Henry","the United States"
"Alice in the Cities","Ernst Wilhelm Wenders","Wim Wenders","''; Federal Republic of Germany; West Germany"
"Sollathaan Ninaikkiren","Kailasam Balachander","K. Balachander; Kailasam Balachander","Bhārat Gaṇarājya; India"
"Khauff","Sanjay Gupta","Sanjay Gupta","Bhārat Gaṇarājya; India"
"Homesdale","Peter Lindsay Weir","Peter Weir","Australia"
"Army of Lovers or Revolt of the Perverts","Holger Bernhard Bruno Waldemar Mischwitzky","Rosa von Praunheim","''; Federal Republic of Germany; West Germany"
"No Smoking","Anurag Singh Kashyap","Anurag Kashyap","Bhārat Gaṇarājya; India"
"Nickel Mountain","Drew Steven Denbaum","Drew Denbaum","Iceland; Lýðveldið Ísland; the United States"
"Hasida Hebbuli","S.A. Chandrasekar","S. A. Chandrasekhar; Shoba Chandrasekhar","Bhārat Gaṇarājya; India"
"Frankenstein","James Searle Dawley","J. Searle Dawley","the United States"
"Untold Scandal","Lee Jae-yong","E J-yong; Je-yong Lee; Kim Dae-woo","South Korea"
"L'Amour fou","Jacques Pierre Louis Rivette","Jacques Rivette; Marilù Parolini","France"
"Samsara Sangeetham","Vijaya Thesingu Rajender","T. Rajendar","Bhārat Gaṇarājya; India"
"Eine alte Liebe","Frank Paul Beyer","Frank Beyer","''; East Germany; German Democratic Republic"
"Pick Pocket","Govindraj Manoharan Kumar; Nambiathusseril Varkey John","G. M. Kumar; Pappanamkodu Lakshmanan","Bhārat Gaṇarājya; India"
"White Night Wedding","Baltasar Kormákur Samper","Baltasar Kormákur","Iceland; Lýðveldið Ísland"
"The Mosquito Coast","Peter Lindsay Weir","Paul Schrader","the United States"
"Mr Prime Minister","Dharamdev Anand","Dev Anand","Bhārat Gaṇarājya; India"
"Anarkali","KR Sachidanandan","Sachy","Bhārat Gaṇarājya; India"
"Holmes & Watson: Madrid days","José Luis García Muñoz","José Luis Garci","Spain"
"Eve","Neta-Lee Hershlag","Natalie Portman","the United States"
"Deyyam","Penmetsa Ram Gopal Varma","Ram Gopal Varma; రాం గోపాల్ వర్మ","Bhārat Gaṇarājya; India"
"Planeta Bur","Pavel Vladimirovich Klushantsev","Alexander Kazantsev; Pavel Klushantsev","Soviet Union (USSR); Union of Soviet Socialist Republics"
"Children Shouldn't Play with Dead Things","Benjamin Clark","Alan Ormsby; Bob Clark","the United States"
"Sakhakkale Munnoottu","Nambiathusseril Varkey John","J. Sasikumar; Mankombu Gopalakrishnan","Bhārat Gaṇarājya; India"
"Četverored","Jakov Sedlar","Ivan Aralica","Croatia"
"Muhammad: The Messenger of God","Majid Majidi","Kambuzia Partovi; Majid Majidi; کامبوزیا پرتوی","Iran"
"Aegan","Rajendra Sundaram","Farah Khan; Raju Sundaram","Bhārat Gaṇarājya; India"
"Christian Brothers","Joshi","Siby K. Thomas; Udayakrishna and","Bhārat Gaṇarājya; India"
"Ted & Venus","Walter Edward Cox","Bud Cort","the United States"
"Deccan Queen","Mehboob Khan Ramzan Khan","Zia Sarhadi","Bhārat Gaṇarājya; India"
"Asthamikkatha Pakalukal","Alleppey Sheriff","A. Sheriff","Bhārat Gaṇarājya; India"
"La Pasión Turca","Vicente Aranda Ezquerra","Vicente Aranda","Spain"
"Three Kings","David Owen Russell","David O. Russell","the United States"
"Rally Round the Flag, Boys!","Thomas Leo McCarey","Claude Binyon; Max Shulman","the United States"
"Race for the Yankee Zephyr","David Edward Leslie Hemmings","Everett De Roche","Aotearoa (Māori); New Zealand"
"Pan Tadeusz","Andrzej Witold Wajda","Andrzej Wajda","Poland"
"Bhanwara","Kidar Nath Sharma","Kidar Sharma","Bhārat Gaṇarājya; India"
"Duets","Bruce Weigert Paltrow","John Byrum","the United States"
"Sherlock Holmes","Guy Stuart Ritchie","Anthony Peckham; Simon Kinberg","the United States"
"Woyzeck","Werner Herzog Stipetić","Werner Herzog","''; Federal Republic of Germany; West Germany"
"The Parent Trap","Nancy Jane Meyers","Charles Shyer; David Swift; Nancy Meyers","United Kingdom"
"Sabotage","Alfred Joseph Hitchcock","Charles Bennett","United Kingdom"
"Parinamam","Pattathil Venugopalan Menon","Madampu Kunjukuttan; Madampu Sankaran Namboothiri","Bhārat Gaṇarājya; India"
"अव्वल नंबर","Dharamdev Anand","Dev Anand","Bhārat Gaṇarājya; India"
"Hamari Yaad Aayegi","Kidar Nath Sharma","Kidar Sharma","Bhārat Gaṇarājya; India"
"Shishirathil Oru Vasantham","Kothanda Ramaiah aka K R","Keyaar; Kothanda Ramaiah","Bhārat Gaṇarājya; India"
